ds,yhat,yhat_lower,yhat_upper
2016-09-09,14385.5369370255,12841.40455136624,15885.367509839385
2016-09-10,13122.915293521182,11626.265586216576,14634.637358759112
2016-09-11,12624.472954803035,11131.796467713963,14239.956899239434
2016-09-12,14173.219969134272,12644.653050962255,15881.682164958214
2016-09-13,14350.82614429308,12778.729489150666,15889.032590586734
2016-09-14,14233.101236671435,12636.857403016189,15622.437339945516
2016-09-15,14189.98712797187,12689.817318140154,15746.988050359443
2016-09-16,13876.926030364213,12366.102315925498,15420.056900096168
2016-09-17,12641.496319965318,11233.744457481574,14230.414063489345
2016-09-18,12170.690475210686,10656.97469729577,13611.385356181558
2016-09-19,13746.784682809344,12186.83055811942,15243.82513725086
2016-09-20,13950.775324354236,12395.042151919479,15393.665648485166
2016-09-21,13857.881589359013,12390.95107079789,15424.888849041903
2016-09-22,13837.556943640964,12332.138890539958,15406.718777781987
2016-09-23,13544.872863865834,12101.967111213635,15002.56029696697
2016-09-24,12327.165933584878,10837.912495455097,13800.020674041547
2016-09-25,11871.322414228305,10204.965691565614,13390.224926353032
2016-09-26,13459.649643744939,11884.93865000053,14965.466081599687
2016-09-27,13673.309425573714,12165.248341017077,15214.700752749379
2016-09-28,13587.812764940756,12057.811554415408,15109.40597740631
2016-09-29,13573.018950309553,12091.344493839537,15125.546890721194
2016-09-30,13284.502809327454,11725.554769024551,14756.126481994652
2016-10-01,12070.181789155698,10540.15808245754,13620.87223271789
2016-10-02,11617.577647868391,10111.62399313471,13168.619986538619
2016-10-03,13209.66287989491,11674.254898683506,14685.118325357003
2016-10-04,13428.267881138916,11925.803359812093,14928.04311870649
2016-10-05,13349.549099277869,11944.26602480349,14850.18239972546
2016-10-06,13343.962072749855,11912.328580503969,14923.056021460447
2016-10-07,13067.604081447296,11723.927812956426,14607.666023420014
2016-10-08,11868.8189116871,10316.613791550471,13356.478727069802
2016-10-09,11435.43930616497,9807.7719133329,12946.884667525706
2016-10-10,13050.617911426587,11462.670860151458,14642.735453174493
2016-10-11,13296.223300791706,11760.83976903923,14755.3877362342
2016-10-12,13248.301753734018,11733.442909072448,14705.97069743574
2016-10-13,13277.048979179563,11733.880848298713,14720.49507954882
2016-10-14,13038.156627218652,11452.583743366846,14499.342013949785
2016-10-15,11879.426045874725,10402.065030248023,13387.915797485584
2016-10-16,11488.024639767456,9935.493002693318,12984.220623050867
2016-10-17,13146.33526678113,11561.62316171628,14723.449988674523
2016-10-18,13435.374721734457,11902.903409184928,14925.764883400521
2016-10-19,13430.28132205175,11762.084451373275,14847.709022033736
2016-10-20,13500.314998973077,11973.953271474953,15154.860630574845
2016-10-21,13300.23386089588,11755.607167013633,14828.49687413292
2016-10-22,12176.93873983621,10710.397750119528,13688.369410648042
2016-10-23,11816.760093636964,10416.352525830143,13222.105077461949
2016-10-24,13501.336707688391,11996.35584380141,14930.508526859789
2016-10-25,13811.061275688722,12304.62551062925,15284.755349737423
2016-10-26,13820.5919586961,12355.787486889734,15478.929747129185
2016-10-27,13898.872493049956,12430.599577908324,15462.937957520271
2016-10-28,13700.524090992576,12205.732397263086,15235.505319654516
2016-10-29,12572.50005618101,11181.677975668597,14130.033159054103
2016-10-30,12201.377052246655,10661.772346834887,13693.840258271293
2016-10-31,13869.232203503116,12238.7557610545,15507.97329570141
2016-11-01,14157.08102330316,12526.91886741477,15662.163884233445
2016-11-02,14140.375370918238,12621.831366901168,15570.325474639585
2016-11-03,14189.004294622857,12747.069829471096,15787.967586556166
2016-11-04,13958.661471242936,12392.841169931009,15516.902626845675
2016-11-05,12797.470798639879,11249.782530238606,14338.920408625761
2016-11-06,12393.244864499291,10894.099635042969,13910.388100900465
2016-11-07,14029.3263853405,12457.436037402047,15570.573581836332
2016-11-08,14287.988629666557,12743.359822614682,15855.61640157662
2016-11-09,14245.895119114017,12691.551393317595,15768.1180122089
2016-11-10,14274.062601056812,12766.756567911878,15771.134817090915
2016-11-11,14029.192147898886,12601.022703767792,15536.311933151128
2016-11-12,12860.261059650706,11432.025952298762,14305.931345476603
2016-11-13,12455.751354531827,10968.642556431518,13992.62314979569
2016-11-14,14099.465911740843,12666.338674302237,15747.467377727751
